title,id,brand,image,originalPrice,salePrice,discount,rating,reviewCount,thumbnails,description,detailImage,performance,extends
Laptop Lenovo ThinkPad X1 Carbon Gen 13 21NX0038VN,1067233317,Không thương hiệu,https://product.hstatic.net/200000722513/product/thinkpad_x1_carbon_gen_13_ct1_05_70c42bf0649645b0b757582fc6e5b872.png,49990000.0,34993000,0.3,4.8,438,['https://product.hstatic.net/200000722513/product/thinkpad_x1_carbon_gen_13_ct1_05_70c42bf0649645b0b757582fc6e5b872.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/thinkpad_x1_carbon_gen_13_ct1_05_70c42bf0649645b0b757582fc6e5b872.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Laptop Lenovo ThinkPad X1 Carbon Gen 13 21NX003DVN,1067233141,LENOVO,https://product.hstatic.net/200000722513/product/thinkpad_x1_carbon_gen_13_ct1_05_ab94e2633b074a7da3a7cc16eb3c4879.png,48990000.0,25964700,0.47,3.1,165,['https://product.hstatic.net/200000722513/product/thinkpad_x1_carbon_gen_13_ct1_05_ab94e2633b074a7da3a7cc16eb3c4879.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/thinkpad_x1_carbon_gen_13_ct1_05_ab94e2633b074a7da3a7cc16eb3c4879.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
"Màn hình Asus TUF GAMING VG259Q5A 25"" Fast IPS 200Hz Gsync chuyên game",1067230086,ASUS,https://product.hstatic.net/200000722513/product/asus_vg259q5a_200hz_gearvn_2c55f5c7cebe4f688f1e07e8c6f1bb48.jpg,3690000.0,1918800,0.48,4.3,358,['https://product.hstatic.net/200000722513/product/asus_vg259q5a_200hz_gearvn_2c55f5c7cebe4f688f1e07e8c6f1bb48.jpg'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/asus_vg259q5a_200hz_gearvn_2c55f5c7cebe4f688f1e07e8c6f1bb48.jpg,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
PC GVN Intel Core Ultra 7 265KF/ VGA RTX 5080 (Powered by MSI),1067180307,MSI,https://product.hstatic.net/200000722513/product/msi_4080_super_white_-_3_a5d5635b419c4365903479a05227ed1d.png,74990000.0,41244500,0.45,0.5,167,['https://product.hstatic.net/200000722513/product/msi_4080_super_white_-_3_a5d5635b419c4365903479a05227ed1d.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/msi_4080_super_white_-_3_a5d5635b419c4365903479a05227ed1d.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Tản nhiệt AIO ASUS ROG Ryuo IV SLC 360 ARGB,1067177862,ASUS,https://product.hstatic.net/200000722513/product/rog-ryuo-iv-slc-360-argb-01_dd9d8cce5aca436e9e3b0b10431b6e79.jpg,9990000.0,7092900,0.29,0.4,140,['https://product.hstatic.net/200000722513/product/rog-ryuo-iv-slc-360-argb-01_dd9d8cce5aca436e9e3b0b10431b6e79.jpg'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/rog-ryuo-iv-slc-360-argb-01_dd9d8cce5aca436e9e3b0b10431b6e79.jpg,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Laptop gaming MSI Thin 15 B13UC 2081VN,1067098790,MSI,https://product.hstatic.net/200000722513/product/khung-laptop-23_d51fca97f93646e593987eacc22a5e25.png,17990000.0,10614100,0.41,0.6,472,['https://product.hstatic.net/200000722513/product/khung-laptop-23_d51fca97f93646e593987eacc22a5e25.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/khung-laptop-23_d51fca97f93646e593987eacc22a5e25.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Laptop gaming MSI Katana 15 B13VEK 2415VN,1067098072,MSI,https://product.hstatic.net/200000722513/product/ava_de2354a6925a49cba8c081119e0c7b06.png,23490000.0,16208100,0.31,3.7,447,['https://product.hstatic.net/200000722513/product/ava_de2354a6925a49cba8c081119e0c7b06.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/ava_de2354a6925a49cba8c081119e0c7b06.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Laptop gaming MSI Thin 15 B13VE 2824VN,1067097109,MSI,https://product.hstatic.net/200000722513/product/khung-laptop-23_acbd93cd245f40449ecac5bd3067ca68.png,20990000.0,11334600,0.46,1.4,129,['https://product.hstatic.net/200000722513/product/khung-laptop-23_acbd93cd245f40449ecac5bd3067ca68.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/khung-laptop-23_acbd93cd245f40449ecac5bd3067ca68.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Laptop Dell Inspiron 15 3520 N3520 i5U165W11SLU,1067068279,Không thương hiệu,https://product.hstatic.net/200000722513/product/ava_8a387bf0ae5d45f381b3353e0b71531a.png,14790000.0,7838700,0.47,5.0,239,['https://product.hstatic.net/200000722513/product/ava_8a387bf0ae5d45f381b3353e0b71531a.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/ava_8a387bf0ae5d45f381b3353e0b71531a.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Laptop gaming ASUS ROG Strix G16 G614JU N3480W,1067051092,ASUS,https://product.hstatic.net/200000722513/product/ava_70a13eeefe024af18a5a75c89cedc99a.png,30990000.0,17044500,0.45,1.4,190,['https://product.hstatic.net/200000722513/product/ava_70a13eeefe024af18a5a75c89cedc99a.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/ava_70a13eeefe024af18a5a75c89cedc99a.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Laptop Lenovo V14 G4 IRU 83A000BEVN,1067046396,LENOVO,https://product.hstatic.net/200000722513/product/lenovo_v14_g4_iru_ct1_09_cec3749729ee42f3ab1b318c2348639e.png,13490000.0,10522200,0.22,4.5,247,['https://product.hstatic.net/200000722513/product/lenovo_v14_g4_iru_ct1_09_cec3749729ee42f3ab1b318c2348639e.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/lenovo_v14_g4_iru_ct1_09_cec3749729ee42f3ab1b318c2348639e.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Laptop gaming ASUS ROG Zephyrus G16 GU605CR QR137W,1067044859,ASUS,https://product.hstatic.net/200000722513/product/zephyrus_g16_gu605_grey_05_rgb_1_5415c30990c3487dad135462020f6bfd.png,76990000.0,59282300,0.23,2.9,388,['https://product.hstatic.net/200000722513/product/zephyrus_g16_gu605_grey_05_rgb_1_5415c30990c3487dad135462020f6bfd.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/zephyrus_g16_gu605_grey_05_rgb_1_5415c30990c3487dad135462020f6bfd.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Laptop gaming ASUS ROG Zephyrus G14 GA403WR QS103WS,1067044858,ASUS,https://product.hstatic.net/200000722513/product/asus-rog-zephyrus-g14-ga403uv-qs171w_4aef4676f5ef4fddbb5fd6d0c5fec7d5_fb71cb97380d454da5aed087718a00d5.png,72990000.0,56932200,0.22,1.2,191,['https://product.hstatic.net/200000722513/product/asus-rog-zephyrus-g14-ga403uv-qs171w_4aef4676f5ef4fddbb5fd6d0c5fec7d5_fb71cb97380d454da5aed087718a00d5.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/asus-rog-zephyrus-g14-ga403uv-qs171w_4aef4676f5ef4fddbb5fd6d0c5fec7d5_fb71cb97380d454da5aed087718a00d5.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Laptop gaming ASUS ROG Strix G16 G615JMR S5155W,1067044857,ASUS,https://product.hstatic.net/200000722513/product/rog_strix_g16_2025_g615_1_b1f1f2_3c443fbfc5284b4f9622cd28b78eb1ec.png,43990000.0,33872300,0.23,2.8,485,['https://product.hstatic.net/200000722513/product/rog_strix_g16_2025_g615_1_b1f1f2_3c443fbfc5284b4f9622cd28b78eb1ec.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/rog_strix_g16_2025_g615_1_b1f1f2_3c443fbfc5284b4f9622cd28b78eb1ec.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Laptop gaming ASUS ROG Strix G16 G615LR S5238W,1067044855,ASUS,https://product.hstatic.net/200000722513/product/laptop_gaming_asus_v16_k3607vu_rp280w_01_7e7e0f5befb44cdcaa7f712fde872b99.png,54990000.0,36293400,0.34,3.3,98,['https://product.hstatic.net/200000722513/product/laptop_gaming_asus_v16_k3607vu_rp280w_01_7e7e0f5befb44cdcaa7f712fde872b99.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/laptop_gaming_asus_v16_k3607vu_rp280w_01_7e7e0f5befb44cdcaa7f712fde872b99.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Laptop gaming ASUS V16 K3607VU RP280W,1067044853,ASUS,https://product.hstatic.net/200000722513/product/k3607vu-rp280w_asus_gaming_v16_c991c386bf9048b5838aae997e3387bc.png,23490000.0,17147700,0.27,4.0,396,['https://product.hstatic.net/200000722513/product/k3607vu-rp280w_asus_gaming_v16_c991c386bf9048b5838aae997e3387bc.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/k3607vu-rp280w_asus_gaming_v16_c991c386bf9048b5838aae997e3387bc.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Laptop gaming ASUS V16 K3607VJ RP106W,1067044851,ASUS,https://product.hstatic.net/200000722513/product/k3607vj-rp106w_asus_gaming_v16_710259ce233d40318d1a3bea1355f414.png,22490000.0,14618500,0.35,4.7,426,['https://product.hstatic.net/200000722513/product/k3607vj-rp106w_asus_gaming_v16_710259ce233d40318d1a3bea1355f414.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/k3607vj-rp106w_asus_gaming_v16_710259ce233d40318d1a3bea1355f414.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
"Màn hình Acer KA272 G0 27"" IPS 120Hz",1066946585,ACER,https://product.hstatic.net/200000722513/product/acer_ka272_g0_gearvn_d7ccbda688bd4f1f8ab2df0e02a731e4.jpg,2550000.0,1683000,0.34,4.6,111,['https://product.hstatic.net/200000722513/product/acer_ka272_g0_gearvn_d7ccbda688bd4f1f8ab2df0e02a731e4.jpg'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/acer_ka272_g0_gearvn_d7ccbda688bd4f1f8ab2df0e02a731e4.jpg,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
"Màn hình E-DRA EGM27F180PV 27"" IPS 180Hz chuyên game",1066931460,E-Dra,https://product.hstatic.net/200000722513/product/edra_egm27f180pv_gearvn_6eb55f364f9e431886ffdd99c01cd7d1.jpg,3190000.0,2137300,0.33,0.5,222,['https://product.hstatic.net/200000722513/product/edra_egm27f180pv_gearvn_6eb55f364f9e431886ffdd99c01cd7d1.jpg'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/edra_egm27f180pv_gearvn_6eb55f364f9e431886ffdd99c01cd7d1.jpg,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
"Màn hình E-DRA EGM25F200H 25"" IPS 200Hz chuyên game",1066931448,E-Dra,https://product.hstatic.net/200000722513/product/edra_egm25f200h_gearvn_7b65b2e8b308479892bb616addc30869.jpg,2590000.0,1709400,0.34,1.7,295,['https://product.hstatic.net/200000722513/product/edra_egm25f200h_gearvn_7b65b2e8b308479892bb616addc30869.jpg'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/edra_egm25f200h_gearvn_7b65b2e8b308479892bb616addc30869.jpg,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
"Màn hình E-DRA EGM27F120PV 27"" IPS 120Hz",1066931440,E-Dra,https://product.hstatic.net/200000722513/product/edra_egm27f120pv_gearvn_ad68d50305d54e65ba4613d518c1cc11.jpg,2390000.0,1338400,0.44,4.5,94,['https://product.hstatic.net/200000722513/product/edra_egm27f120pv_gearvn_ad68d50305d54e65ba4613d518c1cc11.jpg'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/edra_egm27f120pv_gearvn_ad68d50305d54e65ba4613d518c1cc11.jpg,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Máy chơi game cầm tay MSI Claw 8 AI+ A2VM-079VN,1066858222,MSI,https://product.hstatic.net/200000722513/product/1024__1__e1e7cf2ee98c45359e37900df94c63ea.png,25990000.0,18972700,0.27,4.8,219,['https://product.hstatic.net/200000722513/product/1024__1__e1e7cf2ee98c45359e37900df94c63ea.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/1024__1__e1e7cf2ee98c45359e37900df94c63ea.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Bo mạch chủ ASUS ROG CROSSHAIR X870E EXTREME (DDR5),1066849753,ASUS,https://product.hstatic.net/200000722513/product/x870e_extreme_.main_logo__1c0af41365c04e03bcafbe7afc0463c8.jpg,31990000.0,21113400,0.34,3.7,453,['https://product.hstatic.net/200000722513/product/x870e_extreme_.main_logo__1c0af41365c04e03bcafbe7afc0463c8.jpg'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/x870e_extreme_.main_logo__1c0af41365c04e03bcafbe7afc0463c8.jpg,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Bàn phím Leobog Hi86 TM (Đen hồng/ Star Vector switch) HI8601,1066820775,Leobog,https://product.hstatic.net/200000722513/product/1_edb0eaf8b2994509bbee55e64ea275c0.png,2242000.0,1636660,0.27,3.1,437,['https://product.hstatic.net/200000722513/product/1_edb0eaf8b2994509bbee55e64ea275c0.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/1_edb0eaf8b2994509bbee55e64ea275c0.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Bàn phím Leobog Hi86 TM (Trắng đen/ Nimbus V3 switch) HI8602,1066820772,Leobog,https://product.hstatic.net/200000722513/product/1_a7d3d7cf71f84a21becb1331e6053aab.png,2190000.0,1445400,0.34,4.2,142,['https://product.hstatic.net/200000722513/product/1_a7d3d7cf71f84a21becb1331e6053aab.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/1_a7d3d7cf71f84a21becb1331e6053aab.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Bàn phím Leobog A75 TM (Moon Cat trắng/ Rambo switch) A7504,1066820771,Leobog,https://product.hstatic.net/200000722513/product/a75__2__dc0221772d8b4238a7c17c17207f1273.png,2190000.0,1708200,0.22,0.1,344,['https://product.hstatic.net/200000722513/product/a75__2__dc0221772d8b4238a7c17c17207f1273.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/a75__2__dc0221772d8b4238a7c17c17207f1273.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Bàn phím Leobog A75 TM (Moon Cat hồng/ Rambo switch) A7503,1066820769,Leobog,https://product.hstatic.net/200000722513/product/a75__2__dad7ea9ef5ad416e8d347bd66dc56a82.png,2190000.0,1226400,0.44,1.0,11,['https://product.hstatic.net/200000722513/product/a75__2__dad7ea9ef5ad416e8d347bd66dc56a82.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/a75__2__dad7ea9ef5ad416e8d347bd66dc56a82.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Bàn phím Leobog A75 TM (Tím+đen/Rambo Switch) A7505,1066820767,Leobog,https://product.hstatic.net/200000722513/product/a75__2__350025bd4d6249fabcdc7961ba0f7991.png,1890000.0,1171800,0.38,2.5,246,['https://product.hstatic.net/200000722513/product/a75__2__350025bd4d6249fabcdc7961ba0f7991.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/a75__2__350025bd4d6249fabcdc7961ba0f7991.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Phụ kiện quà tặng LG cốc lúa mạch sành điệu,1066820087,LG,https://product.hstatic.net/200000722513/product/avatar_95784a28d59b456db105b0e368e5e553.jpg,190000.0,129200,0.32,0.1,77,['https://product.hstatic.net/200000722513/product/avatar_95784a28d59b456db105b0e368e5e553.jpg'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/avatar_95784a28d59b456db105b0e368e5e553.jpg,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Card màn hình MSI GeForce RTX 5060 Ti Ventus 3X OC 16GB,1066818148,MSI,https://product.hstatic.net/200000722513/product/geforce_rtx_5060_ti_16g_ventus_3x_oc_box_card_32fede55616542b6b068dbfa98b9c3e3.png,16790000.0,8898700,0.47,4.3,204,['https://product.hstatic.net/200000722513/product/geforce_rtx_5060_ti_16g_ventus_3x_oc_box_card_32fede55616542b6b068dbfa98b9c3e3.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/geforce_rtx_5060_ti_16g_ventus_3x_oc_box_card_32fede55616542b6b068dbfa98b9c3e3.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Card màn hình MSI GeForce RTX 5060 Ti Ventus 2X Plus 16GB,1066818145,MSI,https://product.hstatic.net/200000722513/product/1024__10__e803160cc1864f02b24465323cee4f1e.png,14990000.0,8994000,0.4,1.5,440,['https://product.hstatic.net/200000722513/product/1024__10__e803160cc1864f02b24465323cee4f1e.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/1024__10__e803160cc1864f02b24465323cee4f1e.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Card màn hình MSI GeForce RTX 5060 Ti Ventus 2X OC Plus 8GB,1066818144,MSI,https://product.hstatic.net/200000722513/product/1024__15__b75c9235196f49f3b05ec0d7bebebafc.png,14390000.0,10073000,0.3,4.7,362,['https://product.hstatic.net/200000722513/product/1024__15__b75c9235196f49f3b05ec0d7bebebafc.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/1024__15__b75c9235196f49f3b05ec0d7bebebafc.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
Card màn hình MSI GeForce RTX 5060 Ti Vanguard SOC 16GB,1066818135,MSI,https://product.hstatic.net/200000722513/product/geforce_rtx_5060_ti_16g_vanguard_soc-2d1_ec6a02e8ebdd46cb9641d406275ca44b.png,19290000.0,14274600,0.26,4.0,199,['https://product.hstatic.net/200000722513/product/geforce_rtx_5060_ti_16g_vanguard_soc-2d1_ec6a02e8ebdd46cb9641d406275ca44b.png'],Mô tả sản phẩm đang được cập nhật.,https://product.hstatic.net/200000722513/product/geforce_rtx_5060_ti_16g_vanguard_soc-2d1_ec6a02e8ebdd46cb9641d406275ca44b.png,Hiệu suất vượt trội cho nhu cầu công việc và giải trí.,"Bảo hành 24 tháng, đổi trả trong 7 ngày."
